gene_name,TCGA-UCEC(Black Or African American)(106)
TCF4,0.113207547
SPEF2,0.113207547
WWC2,0.113207547
MYO10,0.113207547
TRIO,0.113207547
FOXP1,0.113207547
COL5A3,0.113207547
ROBO1,0.113207547
POLE,0.113207547
CPD,0.113207547
DOCK11,0.113207547
SORBS2,0.113207547
TMEM132D,0.113207547
RUNX1T1,0.113207547
NCOR2,0.113207547
ABI3BP,0.113207547
GRIA2,0.113207547
DPP6,0.113207547
MYH15,0.113207547
DCHS2,0.113207547
POLQ,0.113207547
MYLK,0.113207547
ZNF148,0.113207547
GTF3C1,0.113207547
MYCBP2,0.113207547
DNMT3A,0.113207547
TTC3,0.113207547
VANGL2,0.113207547
F5,0.113207547
EDEM3,0.113207547
RNF2,0.113207547
ANKRD30A,0.113207547
UNC13C,0.113207547
KNDC1,0.113207547
KIF21B,0.113207547
KIAA1462,0.113207547
GLI3,0.113207547
ZC3H11A,0.113207547
PLEKHA6,0.113207547
ARHGAP21,0.113207547
KIAA1217,0.113207547
IKBKE,0.113207547
CR1,0.113207547
CUBN,0.113207547
WDR26,0.113207547
FANCM,0.113207547
FRMPD4,0.113207547
POU3F2,0.113207547
CTBP2,0.113207547
NAV2,0.113207547
BTBD7,0.113207547
AMER1,0.113207547
ARHGEF9,0.113207547
PHF8,0.113207547
EPHA8,0.113207547
KDM5C,0.113207547
TSIX,0.113207547
IGSF3,0.113207547
UTRN,0.113207547
ITGB8,0.113207547
SPAG17,0.113207547
USP27X,0.113207547
TNRC18,0.113207547
PTPRK,0.113207547
GRID1,0.113207547
ELK1,0.113207547
TMEM47,0.113207547
TAB3,0.113207547
AKAP13,0.113207547
CAMSAP2,0.113207547
RBM47,0.113207547
CACNA1B,0.113207547
RBFOX1,0.113207547
POM121C,0.113207547
CHD8,0.113207547
CREBBP,0.113207547
SRSF11,0.113207547
SCAF4,0.113207547
LAMA5,0.113207547
ITPRIPL2,0.113207547
MYT1L,0.113207547
ATAD2B,0.113207547
CHD2,0.113207547
KIF26B,0.113207547
REPS2,0.103773585
SHC1,0.103773585
RNF165,0.103773585
FER1L4,0.103773585
PLCE1,0.103773585
PLCH1,0.103773585
FAM47B,0.103773585
PLCB1,0.103773585
MAGEE2,0.103773585
STAG1,0.103773585
ALMS1,0.103773585
YAP1,0.103773585
SCML2,0.103773585
CEP97,0.103773585
