gene_name,TCGA-LIHC(Asian)(158)
MYH8,0.025316456
CAMTA1,0.025316456
LMAN1L,0.025316456
DACH1,0.025316456
NFYC,0.025316456
NACA,0.025316456
ATP2A2,0.025316456
ADAD2,0.025316456
FSCB,0.025316456
CNTN1,0.025316456
LVRN,0.025316456
GBP2,0.025316456
NTM,0.025316456
DOCK7,0.025316456
RASGRP1,0.025316456
FPGT-TNNI3K,0.025316456
PRDM16,0.025316456
IGSF9B,0.025316456
ATP2C2,0.025316456
INADL,0.025316456
ACACB,0.025316456
SRCAP,0.025316456
COL2A1,0.025316456
SRRM4,0.025316456
UTP20,0.025316456
FHAD1,0.025316456
HSP90AA1,0.025316456
CASP9,0.025316456
CATSPERB,0.025316456
TRIP11,0.025316456
KRT5,0.025316456
FURIN,0.025316456
VAMP1,0.025316456
CSNK1A1L,0.025316456
PKD1,0.025316456
DICER1,0.025316456
SLC4A8,0.025316456
CHD9,0.025316456
MAB21L1,0.025316456
SALL1,0.025316456
KCNA6,0.025316456
C1orf94,0.025316456
ARHGEF15,0.025316456
SMEK1,0.025316456
CNOT1,0.025316456
CDH8,0.025316456
IREB2,0.025316456
MYH13,0.025316456
ITGAD,0.025316456
TRIM13,0.025316456
FAH,0.025316456
LTBP2,0.025316456
KIF1B,0.025316456
MLH3,0.025316456
ADAMTSL3,0.025316456
CCDC62,0.025316456
COG3,0.025316456
PDE8A,0.025316456
DNAH10,0.025316456
SPEN,0.025316456
DHX37,0.025316456
SPTBN5,0.025316456
PCDH9,0.025316456
CNOT2,0.025316456
ARHGEF40,0.025316456
NAV3,0.025316456
NCOR1,0.025316456
CCDC144A,0.025316456
DUOX1,0.025316456
GUCY2C,0.025316456
PRTG,0.025316456
ZNF271P,0.025316456
TMTC2,0.025316456
GRIP1,0.025316456
MYO16,0.025316456
SLC6A15,0.025316456
ERCC4,0.025316456
RP11-240B13.2,0.025316456
TRPM7,0.025316456
Unknown,0.025316456
TTC19,0.025316456
FRMD5,0.025316456
NOVA1,0.025316456
MON2,0.025316456
XXbac-BPG116M5.17,0.025316456
AHDC1,0.025316456
ABCC6,0.025316456
PPM1H,0.025316456
VPS39,0.025316456
LEO1,0.025316456
HECTD1,0.025316456
SCNN1D,0.025316456
MCF2L,0.025316456
DDX11,0.025316456
ZNF733P,0.018987342
MMS22L,0.018987342
ADCY1,0.018987342
HIP1,0.018987342
CEACAM5,0.018987342
TNS3,0.018987342
FABP1,0.018987342
GGCX,0.018987342
CEACAM3,0.018987342
EPSTI1,0.018987342
WBSCR17,0.018987342
POTEF,0.018987342
AMER3,0.018987342
TUBBP6,0.018987342
SPOCD1,0.018987342
ZNF679,0.018987342
IQSEC2,0.018987342
TXLNA,0.018987342
ZC3H13,0.018987342
WNK3,0.018987342
VSTM2A,0.018987342
ASL,0.018987342
SMC1A,0.018987342
POPDC3,0.018987342
MRPL35,0.018987342
RPS6KA6,0.018987342
CD19,0.018987342
IKZF1,0.018987342
PABPC5,0.018987342
EIF2AK3,0.018987342
IRGC,0.018987342
FUCA2,0.018987342
TGFB1,0.018987342
XPO6,0.018987342
SMAD9,0.018987342
PLD3,0.018987342
SGCE,0.018987342
DLX5,0.018987342
ASNS,0.018987342
ARMCX3,0.018987342
CYP3A5,0.018987342
ZNF331,0.018987342
ALMS1,0.018987342
ZFP36,0.018987342
SARS2,0.018987342
AGFG2,0.018987342
TBX18,0.018987342
ZAN,0.018987342
DYSF,0.018987342
GSG1L,0.018987342
ZNF423,0.018987342
HEATR3,0.018987342
HSPH1,0.018987342
CLDN12,0.018987342
NIFK,0.018987342
HNRNPUL1,0.018987342
ZNF804B,0.018987342
TRABD2A,0.018987342
ARHGEF4,0.018987342
RHBDD2,0.018987342
ZNF226,0.018987342
AKAP11,0.018987342
CCDC146,0.018987342
CD36,0.018987342
HGF,0.018987342
OR4Q3,0.018987342
HK2,0.018987342
POTEE,0.018987342
ZNF415,0.018987342
CASP8AP2,0.018987342
OR4N5,0.018987342
LONP2,0.018987342
ZNF677,0.018987342
GRM3,0.018987342
POSTN,0.018987342
ORC3,0.018987342
NPC1L1,0.018987342
ITGAM,0.018987342
ZNF227,0.018987342
SIGLEC6,0.018987342
TAGAP,0.018987342
AWAT2,0.018987342
ABCC4,0.018987342
LPA,0.018987342
PLG,0.018987342
PSD4,0.018987342
SLITRK6,0.018987342
L3MBTL3,0.018987342
RCC1,0.018987342
MLLT4,0.018987342
REV1,0.018987342
GPR3,0.018987342
EFNB2,0.018987342
CLVS2,0.018987342
MGAT4A,0.018987342
TNRC18,0.018987342
FBXL18,0.018987342
NLGN3,0.018987342
COL4A1,0.018987342
ENPP3,0.018987342
KLK6,0.018987342
SLC17A7,0.018987342
PLEKHG1,0.018987342
EPM2A,0.018987342
SHPRH,0.018987342
GRM1,0.018987342
ADGB,0.018987342
VSIG4,0.018987342
STXBP5,0.018987342
CPT1C,0.018987342
ZC3H6,0.018987342
PRR12,0.018987342
ST6GAL2,0.018987342
RANBP2,0.018987342
MYBPC2,0.018987342
FCGRT,0.018987342
GCC2,0.018987342
ZXDB,0.018987342
MTRF1L,0.018987342
SLC5A7,0.018987342
HBS1L,0.018987342
MCM9,0.018987342
TPRX1,0.018987342
P2RY10,0.018987342
DAGLB,0.018987342
FKRP,0.018987342
PERM1,0.018987342
PRKD2,0.018987342
PPP5C,0.018987342
HNRNPA2B1,0.018987342
AK9,0.018987342
HOXA6,0.018987342
MICAL1,0.018987342
SIX5,0.018987342
IWS1,0.018987342
ADCYAP1R1,0.018987342
